,pond,start_date,date_time,Productivity (Soluble Protein),id,pHam,pHpm,height,mat_density,wateradded,nutrientsadded,pHadjusted,innoculation,harvested,comments,biomassAMsieve1,biomassAMsieve2,biomassAMsieve3,biomassPMsieve1,biomassPMsieve2,biomassPMsieve3,dryweight,WMPerm2,DMPerm2,WMPerPond,DMPerPond,Sieve1,Sieve2,Sieve3,cal_sieve1,cal_sieve2,cal_sieve3,EC,watertemp,DO,surfacearea,SAcorrection,effectiveSA,dailydiff,netremoval,total
0,250A,2020-12-01 00:00:00,2020-12-30,0.26969261754660767,2014,5.3,5.0,15.5,1116.6,,,,,,,41.3,40.2,37.0,,,,4.96,,,,,1192.5,1191.3,1041.9,22.2,21.2,20.3,1.0,,9.16,250.0,,250.0,,,
1,250A,2020-12-02 00:00:00,2020-12-30,0.24966529375893723,2014,5.3,5.0,15.5,1116.6,,,,,,,41.3,40.2,37.0,,,,4.96,,,,,1192.5,1191.3,1041.9,22.2,21.2,20.3,1.0,,9.16,250.0,,250.0,,,
2,250A,2020-12-03 00:00:00,2020-12-30,0.2462582071516249,2014,5.3,5.0,15.5,1116.6,,,,,,,41.3,40.2,37.0,,,,4.96,,,,,1192.5,1191.3,1041.9,22.2,21.2,20.3,1.0,,9.16,250.0,,250.0,,,
3,250A,2020-12-04 00:00:00,2020-12-30,0.24214483933595513,2014,5.3,5.0,15.5,1116.6,,,,,,,41.3,40.2,37.0,,,,4.96,,,,,1192.5,1191.3,1041.9,22.2,21.2,20.3,1.0,,9.16,250.0,,250.0,,,
4,250A,2020-12-07 00:00:00,2021-01-04,0.24713609108652385,2015,5.2,4.8,15.5,1180.6,No,No,Yes,0.0,0.0,250g NaHCO3 PM,45.6,40.6,38.7,,,,5.04,,,,,1463.1,1216.3,1145.0,22.2,21.2,20.3,,,,250.0,,250.0,,,
5,250A,2020-12-07 00:00:00,2021-01-05,0.3809441129750219,2016,5.2,4.9,15.5,1322.5,No,No,Yes,0.0,100000.0,150g NaHCO3 PM,43.2,44.1,39.8,,,,5.04,541.9,27.3,135469.0,6828.0,1311.9,1430.6,1214.4,22.2,21.2,20.3,,,,250.0,,250.0,,,
6,250A,2020-12-07 00:00:00,2021-01-06,0.3482036446180345,2017,5.2,5.3,15.5,890.0,No,No,Yes,0.0,0.0,100g NaHCO3 AM,37.3,34.9,35.1,,,,5.04,,-21.8,-108125.0,-5450.0,943.8,860.0,920.0,22.2,21.2,20.3,,,,250.0,,250.0,,,
7,250A,2020-12-08 00:00:00,2021-01-07,0.3431672902307511,2018,4.8,5.0,15.5,,No,No,Yes,0.0,0.0,100g NaHCO3 AM,,,,,,,5.04,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
8,250A,2020-12-09 00:00:00,2021-01-08,0.31781346892642975,2019,4.9,5.2,15.5,1119.1,No,No,Yes,0.0,0.0,200g NaHCO3 AM,38.8,40.5,36.8,,,,5.04,,,,,1034.4,1210.6,1027.5,22.2,21.2,20.3,1.0,,10.93,250.0,,250.0,,,
9,250A,2020-12-10 00:00:00,2021-01-08,0.3102675559270793,2019,4.9,5.2,15.5,1119.1,No,No,Yes,0.0,0.0,200g NaHCO3 AM,38.8,40.5,36.8,,,,5.04,,,,,1034.4,1210.6,1027.5,22.2,21.2,20.3,1.0,,10.93,250.0,,250.0,,,
10,250A,2020-12-11 00:00:00,2021-01-08,0.3054952332646506,2019,4.9,5.2,15.5,1119.1,No,No,Yes,0.0,0.0,200g NaHCO3 AM,38.8,40.5,36.8,,,,5.04,,,,,1034.4,1210.6,1027.5,22.2,21.2,20.3,1.0,,10.93,250.0,,250.0,,,
11,250A,2020-12-14 00:00:00,2021-01-11,0.2758833280992507,2020,5.1,5.3,15.0,1156.3,No,No,Yes,0.0,0.0,150g NaHCO3 AM,41.1,40.6,38.0,,,,5.1,,,,,1179.4,1211.9,1100.6,22.2,21.2,20.3,,,,250.0,,250.0,,,
12,250A,2020-12-14 00:00:00,2021-01-12,0.2670018907810079,2021,4.9,4.8,15.0,,No,No,Yes,0.0,0.0,200g NaHCO3 AM,,,,,,,5.1,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
13,250A,2020-12-14 00:00:00,2021-01-13,0.2871740815877914,2022,5.2,5.1,15.0,1180.3,No,No,Yes,0.0,0.0,100g NaHCO3 AM,44.6,41.4,37.9,,,,5.1,,,,,1400.6,1265.0,1095.6,22.2,21.2,20.3,,,,250.0,,250.0,,,
14,250A,2020-12-15 00:00:00,2021-01-14,0.33197632844066605,2023,4.8,5.3,15.0,,No,No,Yes,0.0,0.0,250g NaHCO3 AM,,,,,,,5.1,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
15,250A,2020-12-16 00:00:00,2021-01-15,0.40171326717376715,2024,5.1,5.1,15.0,1337.8,No,No,Yes,0.0,0.0,100g NaHCO3 AM,44.4,43.4,41.0,,,,5.1,,,,,1388.1,1386.9,1288.8,22.2,21.2,20.3,1.3,,7.91,250.0,,250.0,,,
16,250A,2020-12-17 00:00:00,2021-01-15,0.3347630779128239,2024,5.1,5.1,15.0,1337.8,No,No,Yes,0.0,0.0,100g NaHCO3 AM,44.4,43.4,41.0,,,,5.1,,,,,1388.1,1386.9,1288.8,22.2,21.2,20.3,1.3,,7.91,250.0,,250.0,,,
17,250A,2020-12-18 00:00:00,2021-01-15,0.24780915145192825,2024,5.1,5.1,15.0,1337.8,No,No,Yes,0.0,0.0,100g NaHCO3 AM,44.4,43.4,41.0,,,,5.1,,,,,1388.1,1386.9,1288.8,22.2,21.2,20.3,1.3,,7.91,250.0,,250.0,,,
18,250A,2020-12-21 00:00:00,2021-01-18,0.24007434139047348,2025,4.8,5.3,15.0,1440.6,No,No,Yes,0.0,0.0,200g NaHCO3 AM,46.9,44.2,43.4,,,,4.65,,,,,1540.6,1437.5,1443.8,22.2,21.2,20.3,,,,250.0,,250.0,,,
19,250A,2020-12-21 00:00:00,2021-01-19,0.3979336672940747,2026,4.9,5.0,15.0,1673.1,No,No,Yes,0.0,95000.0,150g NaHCO3 AM,48.0,49.2,45.9,,,,4.65,612.5,28.5,153125.0,7120.0,1608.8,1751.3,1595.0,22.2,21.2,20.3,,,,250.0,,250.0,,,
20,250A,2020-12-21 00:00:00,2021-01-20,0.3475417259616852,2027,4.8,5.2,15.0,973.1,No,No,Yes,0.0,0.0,200 g NaHCO3 AM,40.9,36.8,35.9,,,,4.65,,-32.6,-175000.0,-8138.0,1166.3,975.0,971.3,22.2,21.2,20.3,,,,250.0,,250.0,,,
21,250A,2020-12-22 00:00:00,2021-01-21,0.3186456954431534,2028,5.1,5.0,15.0,,No,No,Yes,0.0,0.0,100g NaHCO3 AM 125g NaHCO3 PM,,,,,,,4.65,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
22,250A,2020-12-23 00:00:00,2021-01-22,0.2990671187782287,2029,5.2,4.8,15.0,1243.1,No,No,Yes,0.0,0.0,200g NaHCO3 PM,45.0,42.0,39.3,,,,4.65,,,,,1425.0,1302.5,1183.8,22.2,21.2,20.3,1.3,,6.33,250.0,,250.0,,,
23,250A,2020-12-28 00:00:00,2021-01-22,0.338833148071289,2029,5.2,4.8,15.0,1243.1,No,No,Yes,0.0,0.0,200g NaHCO3 PM,45.0,42.0,39.3,,,,4.65,,,,,1425.0,1302.5,1183.8,22.2,21.2,20.3,1.3,,6.33,250.0,,250.0,,,
